# LAYER depth, Vp_top, Vp_grad, Vs_top, Vs_grad, rho_top, rho_grad
LAYER -3.0  3.000 0.0  1.732 0.0 2.7 0.0
LAYER  1.0  3.000 0.0  1.732 0.0 2.7 0.0
LAYER  1.0  4.500 0.0  2.598 0.0 2.7 0.0
LAYER  2.0  4.500 0.0  2.598 0.0 2.7 0.0
LAYER  2.0  5.500 0.0  3.176 0.0 2.7 0.0
LAYER  4.0  5.500 0.0  3.176 0.0 2.7 0.0
LAYER  4.0  6.000 0.0  3.464 0.0 2.7 0.0
LAYER  7.0  6.000 0.0  3.464 0.0 2.7 0.0
LAYER  7.0  6.100 0.0  3.522 0.0 2.7 0.0
LAYER 12.0  6.100 0.0  3.522 0.0 2.7 0.0
LAYER 12.0  6.200 0.0  3.580 0.0 2.7 0.0
LAYER 18.0  6.200 0.0  3.580 0.0 2.7 0.0
LAYER 18.0  6.400 0.0  3.695 0.0 2.7 0.0
LAYER 28.0  6.400 0.0  3.695 0.0 2.7 0.0
LAYER 28.0  6.800 0.0  3.926 0.0 2.7 0.0
LAYER 38.0  6.800 0.0  3.926 0.0 2.7 0.0
LAYER 38.0  7.800 0.0  4.503 0.0 2.7 0.0
LAYER 50.0  8.000 0.0  4.619 0.0 2.7 0.0
